COD     Lat     Lon            Alt
TOSP	11.300  -60.540		0	
TRN	10.648	-61.403		24	
GRGR	12.1323	-61.654		195
URI	11.700	-71.99		68
AUA1	12.505	-70.010		17
BBGH	13.1357	-59.55		180
BRR	7.1071	-73.712		137
COD	9.935	-73.441		108
HEL	6.2342	-75.5476	2788
RUS	5.9271	-73.0755	3356
SML	8.801	-74.7128	121
TAM	6.435	-71.791		459
FDF	14.733	-61.503		510
HATO    12.1803 -68.9578 	40
BIM     14.5170 -61.0708        425
GCMP    12.4860 -61.4260        0
SJC     9.8970  -75.1800        596
SVB     13.272  -61.252         282
